comparison,FEATURE_ID,c1_num_reps,c2_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,counts_c2_g1,counts_c2_g2,counts_c2_both,prior_c1_g1,prior_c1_g2,prior_c2_g1,prior_c2_g2,H3_independence_Bayes_evidence,probofsameAI,g1_c1_sampleprop,g1_c1_theta,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,g1_c2_sampleprop,g1_c2_theta,g1_c2_q025,g1_c2_q975,g1_c2_Bayes_evidence,g1_c2_AI_decision,alpha1_postmean,alpha2_postmean,sigma_alpha_mean,sigma_alpha_0.5,sigma_alpha_0.95,c1_flag_analyze,c2_flag_analyze
line,fusion_id,3,3,209,256,109,187,209,112,0.8,0.8,0.8,0.8,0.9,0.950292700121958,0.4495,0.4591,0.4116,0.5088,0.1007,0,0.4722,0.4609,0.4116,0.5117,0.1213,0,1.087,1.0832,0.801694,0.671916,1.957666,1,1
line,fusion_id,3,3,232,188,120,260,239,165,0.8,0.8,0.8,0.8,0.905333333333333,0.951445004492458,0.5524,0.5373,0.4821,0.5978,0.182,0,0.521,0.5357,0.4801,0.5959,0.1893,0,0.9294,0.9324,0.816194,0.697714,1.947877,1,1
line,fusion_id,3,3,219,260,115,265,238,127,0.8,0.8,0.8,0.8,0.708666666666667,0.950653420504183,0.4572,0.4905,0.441,0.5399,0.7067,0,0.5268,0.4955,0.4453,0.5461,0.8533,0,1.0205,1.0105,0.794243,0.665229,1.962391,1,1
line,fusion_id,3,3,232,252,110,231,214,119,0.8,0.8,0.8,0.8,0.823333333333333,0.952938688035298,0.4793,0.4969,0.445,0.5485,0.8847,0,0.5191,0.4997,0.4482,0.5504,0.9913,0,1.0075,1.0019,0.820917,0.724596,1.970092,1,1
line,fusion_id,3,3,217,292,99,286,268,107,0.8,0.8,0.8,0.8,0.673333333333333,0.951979549730631,0.4263,0.4709,0.4162,0.5249,0.2687,0,0.5162,0.4771,0.4238,0.5289,0.3747,0,1.0617,1.0485,0.799553,0.667062,1.955199,1,1
line,fusion_id,3,3,223,206,131,276,245,135,0.8,0.8,0.8,0.8,0.948,0.952128146776963,0.5198,0.5248,0.4669,0.5804,0.3853,0,0.5298,0.5255,0.4684,0.5812,0.3467,0,0.953,0.9517,0.81095,0.685742,1.965091,1,1
line,fusion_id,3,3,267,314,109,277,225,125,0.8,0.8,0.8,0.8,0.667333333333333,0.949767830999146,0.4596,0.4995,0.4449,0.5552,0.976,0,0.5518,0.5059,0.4504,0.5645,0.8553,0,1.0026,0.9898,0.789231,0.659576,1.969155,1,1
line,fusion_id,3,3,250,216,111,249,226,119,0.8,0.8,0.8,0.8,0.957333333333333,0.953044677838848,0.5365,0.531,0.4837,0.5786,0.188,0,0.5242,0.5302,0.4827,0.5772,0.2007,0,0.9407,0.9423,0.796957,0.65397,1.927564,1,1
line,fusion_id,3,3,211,257,115,230,219,108,0.8,0.8,0.8,0.8,0.736666666666667,0.953102832952606,0.4509,0.4803,0.428,0.529,0.4453,0,0.5122,0.4847,0.4338,0.5349,0.554,0,1.0418,1.0326,0.803332,0.66886,1.944241,1,1
line,fusion_id,3,3,252,241,132,220,223,121,0.8,0.8,0.8,0.8,0.938,0.95140712915916,0.5112,0.505,0.4566,0.5563,0.8753,0,0.4966,0.5041,0.4566,0.5547,0.8767,0,0.9912,0.993,0.802326,0.690089,1.91152,1,1
line,fusion_id,3,3,269,254,139,246,207,126,0.8,0.8,0.8,0.8,0.914666666666667,0.95216808719464,0.5143,0.5273,0.4653,0.589,0.3567,0,0.543,0.5288,0.4656,0.5914,0.35,0,0.9484,0.9457,0.801442,0.673513,1.912631,1,1
line,fusion_id,3,3,239,221,114,242,242,122,0.8,0.8,0.8,0.8,0.888,0.95246809296411,0.5196,0.5108,0.4616,0.5605,0.648,0,0.5,0.5088,0.4578,0.5579,0.7173,0,0.9799,0.9838,0.787556,0.664354,1.92298,1,1
line,fusion_id,3,3,218,216,133,317,230,145,0.8,0.8,0.8,0.8,0.692,0.951373117869345,0.5023,0.541,0.4849,0.5922,0.1307,0,0.5795,0.5465,0.4926,0.5986,0.0833,0,0.9223,0.912,0.805486,0.641093,1.997686,1,1
